GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Initializr :: Generator,io.spring.initializr.generator.project.contributor,MultipleResourcesProjectContributor,111,0,4,0,20,0,7,0,5,0
Spring Initializr :: Generator,io.spring.initializr.generator.project.contributor,ProjectContributor,2,0,0,0,1,0,1,0,1,0
Spring Initializr :: Generator,io.spring.initializr.generator.project.contributor,SingleResourceProjectContributor,54,0,2,0,12,0,3,0,2,0
Spring Initializr :: Generator,io.spring.initializr.generator.io.text,MustacheSection,0,26,0,0,0,8,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.io.text,BulletedSection,4,57,0,2,1,16,1,6,1,5
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTask.Builder,0,67,0,0,0,16,0,7,0,7
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,KotlinDslGradleSettingsWriter,0,23,0,0,0,3,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSystem,0,18,0,0,0,8,0,5,0,5
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradlePluginContainer,0,69,1,3,0,15,1,11,0,10
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GroovyDslGradleSettingsWriter,0,23,0,0,0,3,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleDependency.Builder,0,34,0,2,0,9,0,5,0,4
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,StandardGradlePlugin,0,12,0,0,0,5,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSettings.Builder,0,15,0,0,0,4,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleConfiguration.Builder,0,23,0,0,0,7,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildscript,0,25,0,0,0,6,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,Gradle3BuildWriter,13,40,2,12,1,16,2,10,0,2
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleDependency,0,27,0,0,0,6,0,4,0,4
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTaskContainer,13,81,2,4,2,16,2,11,1,9
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildscript.Builder,0,33,0,0,0,8,0,4,0,4
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildWriter,15,545,2,34,1,104,3,50,1,31
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTask.Invocation,0,15,0,0,0,6,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GroovyDslGradleBuildWriter,0,654,0,40,0,107,0,59,0,39
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleConfigurationContainer,0,83,0,12,0,15,0,14,0,8
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleTask,0,64,0,0,0,15,0,8,0,8
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleSettingsWriter,0,156,0,6,0,38,0,14,0,11
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleConfiguration,0,21,0,0,0,6,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuild,0,58,0,0,0,17,0,9,0,9
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSettings,0,11,0,0,0,4,0,2,0,2
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradlePlugin,0,15,0,0,0,6,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,GradleBuildSystemFactory,18,15,5,3,3,5,4,3,1,2
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.gradle,KotlinDslGradleBuildWriter,5,664,2,46,2,103,2,56,0,34
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPluginContainer,0,83,0,2,0,13,0,11,0,10
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenBuildSystemFactory,0,13,0,2,0,4,0,3,0,2
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenBuildSettings.Builder,0,63,0,0,0,16,0,9,0,9
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenDependency,0,27,0,0,0,6,0,4,0,4
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.ConfigurationBuilder,0,138,0,4,0,23,0,11,0,9
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenResource.Builder,0,44,0,0,0,14,0,6,0,6
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Setting,0,15,0,0,0,6,0,3,0,3
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenResource,0,38,0,0,0,12,0,6,0,6
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Dependency,0,21,0,0,0,8,0,4,0,4
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenResourceContainer,2,59,1,1,0,10,1,9,0,9
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenDependency.Builder,0,34,0,2,0,9,0,5,0,4
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Configuration,0,10,0,0,0,4,0,2,0,2
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.ExecutionBuilder,0,59,0,4,0,15,0,7,0,5
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Builder,0,77,0,2,0,19,0,9,0,8
Spring Initializr :: Generator,io.spring.initializr.generator.buildsystem.maven,MavenPlugin.Execution,0,28,0,0,0,10,0,5,0,5
