GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
== GreenMail Core ==,com.icegreen.greenmail.server,AbstractServer,98,420,8,20,20,108,8,31,0,25
== GreenMail Core ==,com.icegreen.greenmail.server,BuildInfo,9,21,0,0,0,2,2,3,2,3
== GreenMail Core ==,com.icegreen.greenmail.server,AbstractServer.new Runnable() {...},8,19,0,0,0,5,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.user,UserException,12,4,0,0,6,2,3,1,3,1
== GreenMail Core ==,com.icegreen.greenmail.user,UserManager,41,154,13,9,5,35,11,14,1,13
== GreenMail Core ==,com.icegreen.greenmail.user,UserImpl,115,77,5,3,18,27,7,11,4,10
== GreenMail Core ==,com.icegreen.greenmail.user,NoSuchUserException,16,0,0,0,8,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,SmtpCommandRegistry,0,83,0,0,0,14,0,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,VrfyCommand,4,3,0,0,2,1,1,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,AuthCommand.AuthMechanism,5,23,0,0,0,2,1,3,1,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,SmtpCommand,0,8,0,0,0,2,0,1,0,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,NoopCommand,4,3,0,0,2,1,1,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,DataCommand,21,72,3,3,9,17,3,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,QuitCommand,0,21,0,0,0,5,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,RcptCommand,15,45,3,3,6,14,3,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,MailCommand,19,47,3,3,8,16,3,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,RsetCommand,6,3,0,0,3,1,1,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,HeloCommand,2,44,1,1,1,10,1,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.smtp.commands,AuthCommand,153,33,16,2,37,6,11,4,3,3
== GreenMail Core ==,com.icegreen.greenmail.store,SimpleMessageAttributes,465,877,57,61,100,200,49,32,5,17
== GreenMail Core ==,com.icegreen.greenmail.store,ListBasedStoredMessageCollection,104,214,10,14,17,44,9,18,2,13
== GreenMail Core ==,com.icegreen.greenmail.store,SimpleMessageAttributes.Header,73,131,9,9,13,25,7,7,0,5
== GreenMail Core ==,com.icegreen.greenmail.store,HierarchicalFolder,441,544,30,32,69,139,29,49,12,35
== GreenMail Core ==,com.icegreen.greenmail.store,FolderException,89,13,4,0,18,5,11,1,9,1
== GreenMail Core ==,com.icegreen.greenmail.store,StoredMessage.UidAwareMimeMessage,6,14,0,0,2,6,2,2,2,2
== GreenMail Core ==,com.icegreen.greenmail.store,RootFolder,0,8,0,0,0,3,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.store,StoredMessage,78,62,0,0,11,20,1,9,1,9
== GreenMail Core ==,com.icegreen.greenmail.store,MapBasedStoredMessageCollection,346,0,30,0,77,0,28,0,13,0
== GreenMail Core ==,com.icegreen.greenmail.store,InMemoryStore,396,289,43,35,64,73,36,21,8,10
== GreenMail Core ==,com.icegreen.greenmail.store,MessageFlags,15,112,3,15,3,29,4,8,1,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.UidSearchTerm,20,4,2,0,6,2,2,1,1,1
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,DeleteCommand,45,0,4,0,12,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ExpungeCommand,65,0,10,0,19,0,8,0,3,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.NoopCharValidator,0,5,0,0,0,2,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,IdRange,200,106,26,12,34,25,20,13,7,7
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,AuthenticatedStateCommand,1,14,1,3,0,3,1,3,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.FetchCommandParser,142,282,16,44,26,69,12,24,0,6
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StatusCommand.StatusCommandParser,18,91,3,11,2,22,3,7,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ListCommand.ListCommandParser,5,25,1,2,2,7,1,3,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,UnsubscribeCommand,27,0,0,0,8,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,NoopCommand,16,0,0,0,6,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.MessageSetCharValidator,4,15,3,5,0,2,2,4,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,QuotaRootCommand,102,0,6,0,19,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ImapCommandFactory,17,202,1,3,3,38,1,4,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.MessageNumberSearchTerm,0,10,0,0,0,3,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchCommandParser,105,264,25,57,23,64,18,25,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ListCommand,56,207,12,18,14,49,11,9,1,4
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoredMessageSorter,199,0,33,0,49,0,26,0,6,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SetQuotaCommand,91,0,4,0,20,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand.StoreCommandParser,32,39,6,2,7,11,4,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,QuotaCommand,152,0,12,0,34,0,11,0,5,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CloseCommand,5,22,1,1,2,8,1,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,LsubCommand,11,0,0,0,3,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.FetchRequest,0,28,1,1,0,9,1,4,0,4
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand.StoreDirective,0,15,0,0,0,6,0,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.DigitCharValidator,16,0,6,0,2,0,5,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoreCommand,22,105,8,10,3,24,7,5,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StatusCommand.StatusDataItems,0,3,0,0,0,1,0,1,0,1
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,StoredMessageSorter.new Object() {...},61,0,0,0,1,0,1,0,1,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,CommandParser.TagCharValidator,1,17,2,2,0,2,2,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,ExamineCommand,0,4,0,0,0,2,0,1,0,1
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SortKey,98,0,0,0,9,0,4,0,4,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,UidCommand,14,30,1,1,1,9,1,3,0,3
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.new SearchTermBuilder() {...},15,0,0,0,2,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,NonAuthenticatedStateCommand,1,11,1,1,0,3,1,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.new SearchTermBuilder() {...},17,0,0,0,2,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SortCommandParser,94,0,16,0,21,0,10,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.new SearchTermBuilder() {...},23,0,0,0,2,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,FetchCommand.Partial,2,31,1,1,1,8,1,4,0,4
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.new SearchTermBuilder() {...},0,15,0,0,0,2,0,2,0,2
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SearchTermBuilder.new SearchTermBuilder() {...},15,0,0,0,2,0,2,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,AppendCommand,86,0,4,0,21,0,4,0,2,0
== GreenMail Core ==,com.icegreen.greenmail.imap.commands,SubscribeCommand,27,0,0,0,8,0,2,0,2,0
