GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lavagna,io.lavagna.web.support,ResourceController.AngularTemplate,27,0,0,0,6,0,3,0,3,0
lavagna,io.lavagna.web.support,ResourceController.BeforeAfter,2,0,0,0,2,0,2,0,2,0
lavagna,io.lavagna.web.support,ResourceController.JS,34,0,0,0,5,0,3,0,3,0
lavagna,io.lavagna.web.support,ResourceController,804,0,42,0,139,0,37,0,16,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath,142,0,10,0,29,0,12,0,7,0
lavagna,io.lavagna.web.helper,UserArgumentResolver,19,0,0,0,5,0,3,0,3,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.CardDataIdUrlPath,29,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,ExpectPermission.Helper,28,0,6,0,8,0,5,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.LabelListValuedIdPath,28,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,GeneralHandlerExceptionResolver,84,0,4,0,18,0,6,0,4,0
lavagna,io.lavagna.web.helper,GsonHttpMessageConverter,73,0,0,0,13,0,4,0,4,0
lavagna,io.lavagna.web.helper,NoOpOwnershipChecker,5,0,0,0,2,0,2,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.LabelValueIdUrlPath,28,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.CardIdUrlPath,29,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,PermissionMethodInterceptor,363,0,30,0,65,0,20,0,5,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.ColumnDefinitionIdUrlPath,29,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.ColumnIdUrlPath,29,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.BoardShortNameUrlPath,27,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,UserSession,356,0,34,0,78,0,30,0,13,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.LabelIdUrlPath,28,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.EventIdUrlPath,29,0,2,0,7,0,3,0,2,0
lavagna,io.lavagna.web.helper,CardCommentOwnershipChecker,41,0,2,0,12,0,3,0,2,0
lavagna,io.lavagna.web.helper,AbstractPermissionUrlPath.ProjectShortNameUrlPath,7,0,0,0,3,0,2,0,2,0
lavagna,io.lavagna.model.util,DataOutputStreamUtils,3,58,5,7,1,18,6,7,1,6
lavagna,io.lavagna.model.util,CalendarTokenNotFoundException,3,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.model.util,ShortNameGenerator,8,151,0,18,2,24,1,12,1,3
lavagna,io.lavagna.web.api,BoardColumnController,272,0,4,0,49,0,12,0,10,0
lavagna,io.lavagna.web.api,UsersAdministrationController,125,0,6,0,26,0,9,0,6,0
lavagna,io.lavagna.web.api,ApplicationConfigurationController,105,0,4,0,19,0,9,0,7,0
lavagna,io.lavagna.web.api,ProjectController,571,0,22,0,128,0,35,0,24,0
lavagna,io.lavagna.web.api,LoginInfoController,144,0,8,0,27,0,8,0,4,0
lavagna,io.lavagna.web.api,CardLabelController,401,0,8,0,80,0,21,0,17,0
lavagna,io.lavagna.web.api,UserController,242,0,6,0,47,0,17,0,14,0
lavagna,io.lavagna.web.api,EndpointInfoController,85,0,6,0,19,0,6,0,3,0
lavagna,io.lavagna.web.api,ProjectController.UpdateColumnDefinition,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,CardController,637,0,38,0,111,0,37,0,18,0
lavagna,io.lavagna.web.api,CardController.NewCardFile,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,BulkOperationLabelController,328,0,0,0,51,0,12,0,12,0
lavagna,io.lavagna.web.api,CardController.CardData,67,0,0,0,25,0,15,0,15,0
lavagna,io.lavagna.web.api,CardLabelController.Value,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,LoginInfoController.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.web.api,MilestoneController,333,0,14,0,60,0,13,0,6,0
lavagna,io.lavagna.web.api,UserController.PasswordChange,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,PermissionController.ToggleSearchPermission,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,ExportImportController,88,0,0,0,19,0,5,0,5,0
lavagna,io.lavagna.web.api,SetupController,87,0,0,0,16,0,4,0,4,0
lavagna,io.lavagna.web.api,ProjectPermissionController,224,0,12,0,41,0,15,0,9,0
lavagna,io.lavagna.web.api,CardDataController.Content,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,LoginInfoController.OAuthProviderInfo,27,0,0,0,9,0,5,0,5,0
lavagna,io.lavagna.web.api,CardLabelController.SwapListValue,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,CalendarController,64,0,0,0,16,0,7,0,7,0
lavagna,io.lavagna.web.api,UsersAdministrationController.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.web.api,Utils,26,0,2,0,6,0,3,0,2,0
lavagna,io.lavagna.web.api,SetupController.ConfWithUser,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,EndpointInfoController.EndpointsInfo,42,0,2,0,11,0,5,0,4,0
lavagna,io.lavagna.web.api,BoardController,164,0,4,0,34,0,9,0,7,0
lavagna,io.lavagna.web.api,UsersAdministrationController.Edit,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,UsersAdministrationController.Update,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,ConfigurationController,11,0,0,0,4,0,2,0,2,0
lavagna,io.lavagna.web.api,BoardColumnController.BoardColumnToCreate,17,0,0,0,7,0,5,0,5,0
lavagna,io.lavagna.web.api,CardController.CardIds,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,CardDataController.OrderData,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,CardDataController,1170,0,42,0,194,0,52,0,31,0
lavagna,io.lavagna.web.api,ProjectController.ProjectColumn,33,0,0,0,14,0,7,0,7,0
lavagna,io.lavagna.web.api,UsersAdministrationController.PasswordReset,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,SearchController,237,0,30,0,46,0,28,0,13,0
lavagna,io.lavagna.web.api,EndpointInfoController.EndpointInfo,152,0,20,0,21,0,18,0,8,0
lavagna,io.lavagna.web.api,CalendarController.DisableCalendarRequest,6,0,0,0,3,0,1,0,1,0
lavagna,io.lavagna.web.api,ApiHooksController,68,0,0,0,16,0,8,0,8,0
lavagna,io.lavagna.web.api,CardController.ColumnOrders,10,0,0,0,4,0,3,0,3,0
lavagna,io.lavagna.web.api,SearchController.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.web.api,PermissionController,188,0,8,0,38,0,15,0,11,0
lavagna,io.lavagna.query,DB,3,0,0,0,1,0,1,0,1,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver.SimpleMessageCountListener,16,0,2,0,6,0,3,0,2,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver.DefaultSearchTermStrategy,180,0,22,0,39,0,13,0,2,0
lavagna,io.lavagna.service.mailreceiver,AbstractMailReceiver,828,0,88,0,189,0,79,0,35,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver,334,0,32,0,74,0,28,0,12,0
lavagna,io.lavagna.service.mailreceiver,Pop3MailReceiver,73,0,6,0,20,0,9,0,6,0
lavagna,io.lavagna.service.mailreceiver,ImapMailReceiver.IdleCanceler,23,0,2,0,10,0,3,0,2,0
lavagna,io.lavagna.service.mailreceiver,AbstractMailReceiver.IntegrationMimeMessage,76,0,4,0,20,0,7,0,5,0
lavagna,io.lavagna.web.security,Redirector,37,0,4,0,6,0,4,0,2,0
lavagna,io.lavagna.web.security,AnonymousUserFilter,96,0,12,0,18,0,10,0,4,0
lavagna,io.lavagna.web.security,AbstractBaseFilter,31,0,2,0,11,0,5,0,4,0
lavagna,io.lavagna.web.security,SecurityConfiguration.LogoutConfigurer,20,0,0,0,5,0,2,0,2,0
lavagna,io.lavagna.web.security,LoginHandler.AbstractLoginHandler,44,0,0,0,12,0,3,0,3,0
lavagna,io.lavagna.web.security,SecurityConfiguration,155,0,6,0,31,0,14,0,11,0
lavagna,io.lavagna.web.security,SecurityConfiguration.new SecurityConfiguration.LoginHandlerFinder() {...},8,0,0,0,2,0,2,0,2,0
lavagna,io.lavagna.web.security,SecurityConfiguration.LogoutUrlMatcher,48,0,2,0,12,0,4,0,3,0
lavagna,io.lavagna.web.security,RememberMeFilter,47,0,2,0,12,0,5,0,4,0
lavagna,io.lavagna.web.security,CSFRFilter,186,0,32,0,39,0,22,0,6,0
