GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,CosmosdbUtils,80,0,14,0,24,0,11,0,4,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,TelemetryEventData,61,0,2,0,11,0,7,0,6,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,TelemetryEventData.EventData,18,0,0,0,5,0,3,0,3,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,MacAddress,243,0,34,0,52,0,23,0,6,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,TelemetryEventData.EventData.CustomData,24,0,0,0,4,0,6,0,6,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,PropertyLoader,26,44,4,4,6,14,6,3,2,3
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,ExpressionResolver,0,23,1,3,0,9,1,4,0,3
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,TelemetryEventData.Tags,15,0,0,0,5,0,3,0,3,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,Memoizer,0,24,0,0,0,4,0,4,0,4
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.common,TelemetrySender,130,0,12,0,30,0,12,0,6,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.config,ReactiveCosmosRepositoriesRegistrar,9,0,0,0,3,0,3,0,3,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.config,CosmosRepositoryConfigurationExtension,21,31,1,3,6,10,3,8,2,7
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.config,CosmosRepositoriesRegistrar,0,9,0,0,0,3,0,3,0,3
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.config,ReactiveCosmosRepositoryConfigurationExtension,37,11,2,0,12,4,6,4,5,4
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,CosmosRepositoryFactory,30,14,0,0,4,5,3,2,3,2
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,ReactiveCosmosRepositoryFactoryBean,55,0,4,0,19,0,9,0,7,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,ReactiveCosmosRepositoryFactory.ReactiveCosmosQueryLookupStrategy,27,0,0,0,8,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,CosmosRepositoryFactoryBean,36,19,4,0,14,5,6,3,4,3
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,CosmosRepositoryFactory.CosmosDbQueryLookupStrategy,27,0,0,0,7,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,CosmosEntityInformation,43,402,13,53,7,92,13,42,2,20
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,SimpleCosmosRepository,207,78,10,4,45,17,20,6,13,6
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,SimpleReactiveCosmosRepository,337,0,4,0,76,0,29,0,27,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.support,ReactiveCosmosRepositoryFactory,44,0,0,0,12,0,5,0,5,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,AbstractCosmosQuery,83,0,6,0,18,0,7,0,4,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosQueryExecution.CollectionExecution,11,0,0,0,4,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosParameterParameterAccessor,14,0,0,0,4,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,ReactiveCosmosQueryCreator,105,0,6,0,23,0,9,0,6,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosQueryExecution.DeleteExecution,13,0,0,0,4,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosQueryExecution.ExistsExecution,13,0,0,0,4,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosParameter,7,0,0,0,3,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosQueryExecution.PagedExecution,34,0,4,0,8,0,4,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosQueryExecution.MultiEntityExecution,13,0,0,0,4,0,2,0,2,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,PartTreeReactiveCosmosQuery,57,0,2,0,12,0,5,0,4,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,SimpleReactiveCosmosEntityMetadata,22,0,0,0,8,0,3,0,3,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,AbstractReactiveCosmosQuery,80,0,6,0,21,0,7,0,4,0
Spring Data for Azure Cosmos DB SQL API,com.microsoft.azure.spring.data.cosmosdb.repository.query,CosmosQueryCreator,105,0,6,0,23,0,9,0,6,0
